Task_Family,N,Mean_Risk,Mean_Steps,Mean_Structure,Mean_Coherence,Mean_Latency_ms,Conclusion_Rate
geometry,180,0.075000,7.45,0.9083,0.9417,3943.94,0.8611
kinematics,144,0.104081,15.46,0.7944,0.9974,7144.84,0.4861
abductive,108,0.158333,3.28,0.7222,0.9611,4084.53,0.9907
parity,144,0.168403,2.73,0.6729,0.9903,3299.92,1.0000
comparative,72,0.299390,9.10,0.6931,0.7082,5911.03,0.2778
theory_of_mind,144,0.318056,1.00,0.5000,0.8639,1830.05,1.0000
logic_puzzle,36,0.331760,10.19,0.9472,0.3893,6685.00,0.8889
counting,180,0.417925,11.09,0.8306,0.3336,6993.92,0.5778
causal,36,0.487441,10.08,0.6000,0.4251,7764.86,0.0000
inductive,36,0.598611,1.03,0.5028,0.3000,1905.59,1.0000
